
2021-01-16T04:09:22.411315,18,oximeter,detected,1
2021-01-16T04:09:22.811295,18,ecg,processed,1
2021-01-16T04:09:22.811532,18,ecg,detected,1
2021-01-16T04:09:23.011437,18,thermometer,processed,1
2021-01-16T04:09:23.011657,18,thermometer,detected,1
2021-01-16T04:09:23.411712,19,oximeter,processed,1
2021-01-16T04:09:23.411916,19,oximeter,detected,1
2021-01-16T04:09:23.811900,19,ecg,processed,1
2021-01-16T04:09:23.812131,19,ecg,detected,1
2021-01-16T04:09:24.012017,19,thermometer,processed,1
2021-01-16T04:09:24.012270,19,thermometer,detected,1
2021-01-16T04:09:24.412242,20,oximeter,processed,1
2021-01-16T04:09:24.412466,20,oximeter,detected,1
2021-01-16T04:09:24.812509,20,ecg,processed,1
2021-01-16T04:09:24.812726,20,ecg,detected,1
2021-01-16T04:09:25.012610,20,thermometer,processed,1
2021-01-16T04:09:25.012849,20,thermometer,detected,1
2021-01-16T04:09:25.412864,21,oximeter,processed,1
2021-01-16T04:09:25.413097,21,oximeter,detected,1
2021-01-16T04:09:25.813133,21,ecg,processed,1
2021-01-16T04:09:25.813427,21,ecg,detected,1
2021-01-16T04:09:26.013299,21,thermometer,processed,1
2021-01-16T04:09:26.013561,21,thermometer,detected,1
2021-01-16T04:09:26.413624,22,oximeter,processed,1
2021-01-16T04:09:26.413853,22,oximeter,detected,1
2021-01-16T04:09:26.813840,22,ecg,processed,1
2021-01-16T04:09:26.814023,22,ecg,detected,1
2021-01-16T04:09:27.013961,22,thermometer,processed,1
2021-01-16T04:09:27.014193,22,thermometer,detected,1
2021-01-16T04:09:27.414193,23,oximeter,processed,1
2021-01-16T04:09:27.414404,23,oximeter,detected,1
2021-01-16T04:09:27.814515,23,ecg,processed,1
2021-01-16T04:09:27.814778,23,ecg,detected,1
2021-01-16T04:09:28.014636,23,thermometer,processed,1
2021-01-16T04:09:28.014895,23,thermometer,detected,1
2021-01-16T04:09:28.414932,24,oximeter,processed,1
2021-01-16T04:09:28.415174,24,oximeter,detected,1
2021-01-16T04:09:28.815215,24,ecg,processed,1
2021-01-16T04:09:28.815429,24,ecg,detected,1
2021-01-16T04:09:29.015350,24,thermometer,processed,1
2021-01-16T04:09:29.015586,24,thermometer,detected,1
2021-01-16T04:09:29.415652,25,oximeter,processed,1
2021-01-16T04:09:29.415873,25,oximeter,detected,1
2021-01-16T04:09:29.815947,25,ecg,processed,1
2021-01-16T04:09:29.816188,25,ecg,detected,1
2021-01-16T04:09:30.015989,25,thermometer,processed,1
2021-01-16T04:09:30.016213,25,thermometer,detected,1
2021-01-16T04:09:30.416241,26,oximeter,processed,1
2021-01-16T04:09:30.416458,26,oximeter,detected,1
2021-01-16T04:09:30.816464,26,ecg,processed,1
2021-01-16T04:09:30.816701,26,ecg,detected,1
2021-01-16T04:09:31.016617,26,thermometer,processed,1
2021-01-16T04:09:31.016846,26,thermometer,detected,1
2021-01-16T04:09:31.416935,27,oximeter,processed,1
2021-01-16T04:09:31.417151,27,oximeter,detected,1
2021-01-16T04:09:31.817221,27,ecg,processed,1
2021-01-16T04:09:31.817485,27,ecg,detected,1
2021-01-16T04:09:32.017371,27,thermometer,processed,1
2021-01-16T04:09:32.017623,27,thermometer,detected,1
2021-01-16T04:09:32.417701,28,oximeter,processed,1
2021-01-16T04:09:32.417934,28,oximeter,detected,1
2021-01-16T04:09:32.817875,28,ecg,processed,1
2021-01-16T04:09:32.818151,28,ecg,detected,1
2021-01-16T04:09:33.017967,28,thermometer,processed,1
2021-01-16T04:09:33.018234,28,thermometer,detected,1
2021-01-16T04:09:33.418178,29,oximeter,processed,1
2021-01-16T04:09:33.418438,29,oximeter,detected,1
