
2021-01-16T05:11:08.274275,27,ecg,detected,1
2021-01-16T05:11:08.674345,27,thermometer,processed,1
2021-01-16T05:11:08.674518,27,thermometer,detected,1
2021-01-16T05:11:09.274673,28,ecg,processed,1
2021-01-16T05:11:09.274832,28,ecg,detected,1
2021-01-16T05:11:09.674856,28,thermometer,processed,1
2021-01-16T05:11:09.675056,28,thermometer,detected,1
2021-01-16T05:11:10.275139,29,ecg,processed,1
2021-01-16T05:11:10.275303,29,ecg,detected,1
2021-01-16T05:11:10.675249,29,thermometer,processed,1
2021-01-16T05:11:10.675460,29,thermometer,detected,1
2021-01-16T05:11:11.275450,30,ecg,processed,1
2021-01-16T05:11:11.475455,30,ecg,processed,1
2021-01-16T05:11:11.475508,30,ecg,detected,1
2021-01-16T05:11:11.675532,30,thermometer,processed,1
2021-01-16T05:11:11.675619,30,thermometer,detected,1
2021-01-16T05:11:12.275828,31,ecg,processed,1
2021-01-16T05:11:12.275999,31,ecg,detected,1
2021-01-16T05:11:14.276733,33,oximeter,processed,1
2021-01-16T05:11:14.276963,33,oximeter,detected,1
2021-01-16T05:11:15.277045,34,ecg,processed,1
2021-01-16T05:11:15.277124,34,ecg,detected,1
2021-01-16T05:11:17.278005,36,ecg,processed,1
2021-01-16T05:11:17.278180,36,ecg,detected,1
2021-01-16T05:11:18.278348,37,oximeter,processed,1
2021-01-16T05:11:18.278467,37,oximeter,detected,1
2021-01-16T05:11:19.278792,38,ecg,processed,1
2021-01-16T05:11:19.278980,38,ecg,detected,1
2021-01-16T05:11:19.679000,38,thermometer,processed,1
2021-01-16T05:11:19.679231,38,thermometer,detected,1
2021-01-16T05:11:20.279218,39,ecg,processed,1
2021-01-16T05:11:20.279378,39,ecg,detected,1
2021-01-16T05:11:20.679269,39,thermometer,processed,1
2021-01-16T05:11:20.679378,39,thermometer,detected,1
2021-01-16T05:11:21.279562,40,ecg,processed,1
2021-01-16T05:11:21.279686,40,ecg,detected,1
2021-01-16T05:11:21.679758,40,thermometer,processed,1
2021-01-16T05:11:21.679962,40,thermometer,detected,1
2021-01-16T05:11:22.279979,41,ecg,processed,1
2021-01-16T05:11:22.280107,41,ecg,detected,1
2021-01-16T05:11:22.680160,41,thermometer,processed,1
2021-01-16T05:11:22.680363,41,thermometer,detected,1
2021-01-16T05:11:23.280435,42,ecg,processed,1
2021-01-16T05:11:23.280607,42,ecg,detected,1
2021-01-16T05:11:23.680628,42,thermometer,processed,1
2021-01-16T05:11:23.680842,42,thermometer,detected,1
2021-01-16T05:11:24.280801,43,ecg,processed,1
2021-01-16T05:11:24.280912,43,ecg,detected,1
2021-01-16T05:11:24.680985,43,thermometer,processed,1
2021-01-16T05:11:24.681197,43,thermometer,detected,1
2021-01-16T05:11:25.281172,44,oximeter,processed,1
2021-01-16T05:11:25.281316,44,oximeter,detected,1
2021-01-16T05:11:26.281646,45,oximeter,processed,1
2021-01-16T05:11:26.281871,45,oximeter,detected,1
2021-01-16T05:11:27.282165,46,ecg,processed,1
2021-01-16T05:11:27.282365,46,ecg,detected,1
2021-01-16T05:11:27.682174,46,thermometer,processed,1
2021-01-16T05:11:27.682393,46,thermometer,detected,1
2021-01-16T05:11:28.282470,47,ecg,processed,1
2021-01-16T05:11:28.282628,47,ecg,detected,1
2021-01-16T05:11:28.682674,47,thermometer,processed,1
2021-01-16T05:11:28.682876,47,thermometer,detected,1
2021-01-16T05:11:29.282885,48,ecg,processed,1
2021-01-16T05:11:29.283022,48,ecg,detected,1
2021-01-16T05:11:29.683102,48,thermometer,processed,1
2021-01-16T05:11:29.683301,48,thermometer,detected,1
2021-01-16T05:11:30.283291,49,ecg,processed,1
2021-01-16T05:11:30.283416,49,ecg,detected,1
2021-01-16T05:11:30.683532,49,thermometer,processed,1
2021-01-16T05:11:30.683731,49,thermometer,detected,1
2021-01-16T05:11:32.284077,51,ecg,processed,1
2021-01-16T05:11:32.284233,51,ecg,detected,1
2021-01-16T05:11:32.684222,51,thermometer,processed,1
2021-01-16T05:11:32.684414,51,thermometer,detected,1
2021-01-16T05:11:33.284538,52,ecg,processed,1
2021-01-16T05:11:33.284651,52,ecg,detected,1
2021-01-16T05:11:33.684708,52,thermometer,processed,1
2021-01-16T05:11:33.684927,52,thermometer,detected,1
2021-01-16T05:11:34.685120,53,thermometer,processed,1
2021-01-16T05:11:34.685337,53,thermometer,detected,1
2021-01-16T05:11:35.285330,54,ecg,processed,1
2021-01-16T05:11:35.285434,54,ecg,detected,1
2021-01-16T05:11:35.685566,54,thermometer,processed,1
2021-01-16T05:11:35.685788,54,thermometer,detected,1
2021-01-16T05:11:36.285689,55,ecg,processed,1
2021-01-16T05:11:36.285796,55,ecg,detected,1
2021-01-16T05:11:36.685937,55,thermometer,processed,1
2021-01-16T05:11:36.686158,55,thermometer,detected,1
2021-01-16T05:11:37.286104,56,ecg,processed,1
2021-01-16T05:11:37.286220,56,ecg,detected,1
2021-01-16T05:11:37.686313,56,thermometer,processed,1
2021-01-16T05:11:37.686467,56,thermometer,detected,1
2021-01-16T05:11:38.286548,57,ecg,processed,1
2021-01-16T05:11:38.286709,57,ecg,detected,1
2021-01-16T05:11:38.686741,57,thermometer,processed,1
2021-01-16T05:11:38.686952,57,thermometer,detected,1
2021-01-16T05:11:39.286920,58,oximeter,processed,1
2021-01-16T05:11:39.287043,58,oximeter,detected,1
2021-01-16T05:11:39.687185,58,thermometer,processed,1
2021-01-16T05:11:39.687475,58,thermometer,detected,1
2021-01-16T05:11:40.287285,59,ecg,processed,1
2021-01-16T05:11:40.287401,59,ecg,detected,1
2021-01-16T05:11:41.287903,60,ecg,processed,1
2021-01-16T05:11:41.288189,60,ecg,detected,1
2021-01-16T05:11:42.288241,61,oximeter,processed,1
2021-01-16T05:11:42.288468,61,oximeter,detected,1
2021-01-16T05:11:42.688382,61,thermometer,processed,1
2021-01-16T05:11:42.688624,61,thermometer,detected,1
2021-01-16T05:11:43.288606,62,ecg,processed,1
2021-01-16T05:11:43.288730,62,ecg,detected,1
2021-01-16T05:11:44.289114,63,oximeter,processed,1
2021-01-16T05:11:44.289329,63,oximeter,detected,1
2021-01-16T05:11:44.689315,63,thermometer,processed,1
2021-01-16T05:11:44.689532,63,thermometer,detected,1
2021-01-16T05:11:45.289441,64,oximeter,processed,1
2021-01-16T05:11:45.289583,64,oximeter,detected,1
2021-01-16T05:11:45.689688,64,thermometer,processed,1
2021-01-16T05:11:45.689928,64,thermometer,detected,1
2021-01-16T05:11:46.289852,65,ecg,processed,1
2021-01-16T05:11:46.289957,65,ecg,detected,1
2021-01-16T05:11:47.290309,66,ecg,processed,1
2021-01-16T05:11:47.290431,66,ecg,detected,1
2021-01-16T05:11:47.690581,66,thermometer,processed,1
2021-01-16T05:11:47.691142,66,thermometer,detected,1
2021-01-16T05:11:48.690866,67,thermometer,processed,0
2021-01-16T05:11:48.891051,67,thermometer,detected,0
2021-01-16T05:11:49.291066,68,ecg,processed,0
2021-01-16T05:11:49.291195,68,ecg,detected,0
