
2021-01-17T06:14:51.533580,0,centralhub,on,1
2021-01-17T06:14:57.978447,2,oximeter,processed,1
2021-01-17T06:14:57.978663,2,oximeter,detected,1
2021-01-17T06:14:58.178493,2,ecg,processed,1
2021-01-17T06:14:58.178666,2,ecg,detected,1
2021-01-17T06:14:58.378497,2,thermometer,processed,1
2021-01-17T06:14:58.378617,2,thermometer,detected,1
2021-01-17T06:14:58.978796,3,oximeter,processed,1
2021-01-17T06:14:58.978979,3,oximeter,detected,1
2021-01-17T06:14:59.178815,3,ecg,processed,1
2021-01-17T06:14:59.178959,3,ecg,detected,1
2021-01-17T06:14:59.378931,3,thermometer,processed,1
2021-01-17T06:14:59.379104,3,thermometer,detected,1
2021-01-17T06:14:59.979223,4,oximeter,processed,1
2021-01-17T06:14:59.979447,4,oximeter,detected,1
2021-01-17T06:15:00.179325,4,ecg,processed,1
2021-01-17T06:15:00.179506,4,ecg,detected,1
2021-01-17T06:15:00.379420,4,thermometer,processed,1
2021-01-17T06:15:00.379566,4,thermometer,detected,1
2021-01-17T06:15:00.979644,5,oximeter,processed,1
2021-01-17T06:15:00.979806,5,oximeter,detected,1
2021-01-17T06:15:01.179692,5,ecg,processed,1
2021-01-17T06:15:01.179855,5,ecg,detected,1
2021-01-17T06:15:01.379752,5,thermometer,processed,1
2021-01-17T06:15:01.379920,5,thermometer,detected,1
2021-01-17T06:15:01.980042,6,oximeter,processed,1
2021-01-17T06:15:01.980285,6,oximeter,detected,1
2021-01-17T06:15:02.180110,6,ecg,processed,1
2021-01-17T06:15:02.180283,6,ecg,detected,1
2021-01-17T06:15:02.380172,6,thermometer,processed,1
2021-01-17T06:15:02.380376,6,thermometer,detected,1
2021-01-17T06:15:02.980480,7,oximeter,processed,1
2021-01-17T06:15:02.980719,7,oximeter,detected,1
2021-01-17T06:15:03.180484,7,ecg,processed,1
2021-01-17T06:15:03.180629,7,ecg,detected,1
2021-01-17T06:15:03.380659,7,thermometer,processed,1
2021-01-17T06:15:03.380869,7,thermometer,detected,1
2021-01-17T06:15:03.980890,8,oximeter,processed,1
2021-01-17T06:15:03.981096,8,oximeter,detected,1
2021-01-17T06:15:04.180901,8,ecg,processed,1
2021-01-17T06:15:04.181011,8,ecg,detected,1
2021-01-17T06:15:04.381117,8,thermometer,processed,1
2021-01-17T06:15:04.381312,8,thermometer,detected,1
2021-01-17T06:15:04.981358,9,oximeter,processed,1
2021-01-17T06:15:04.981560,9,oximeter,detected,1
2021-01-17T06:15:05.181404,9,ecg,processed,1
2021-01-17T06:15:05.181583,9,ecg,detected,1
2021-01-17T06:15:05.381501,9,thermometer,processed,1
2021-01-17T06:15:05.381662,9,thermometer,detected,1
2021-01-17T06:15:05.981779,10,oximeter,processed,1
2021-01-17T06:15:05.981964,10,oximeter,detected,1
2021-01-17T06:15:06.181840,10,ecg,processed,1
2021-01-17T06:15:06.181981,10,ecg,detected,1
2021-01-17T06:15:06.381986,10,thermometer,processed,1
2021-01-17T06:15:06.382179,10,thermometer,detected,1
2021-01-17T06:15:06.982256,11,oximeter,processed,1
2021-01-17T06:15:06.982492,11,oximeter,detected,1
2021-01-17T06:15:07.182276,11,ecg,processed,1
2021-01-17T06:15:07.182470,11,ecg,detected,1
2021-01-17T06:15:07.382414,11,thermometer,processed,1
2021-01-17T06:15:07.382684,11,thermometer,detected,1
2021-01-17T06:15:07.982654,12,oximeter,processed,1
2021-01-17T06:15:07.982888,12,oximeter,detected,1
